payload_offset,section,origin_zero_word,full_word,delta_or_kind,classification
0ED4,monitor,0FC4,8BFC,7C38,normal
0EFE,monitor,0003,7C3B,7C38,normal
0F06,monitor,29BC,A5F4,7C38,normal
0F09,monitor,0FF1,8C29,7C38,normal
0F0E,monitor,29BC,A5F4,7C38,normal
0F11,monitor,2848,A480,7C38,normal
0F18,monitor,0EC3,8AFB,7C38,normal
0F35,monitor,0EFA,8B32,7C38,normal
0F4F,monitor,11D4,8E0C,7C38,normal
0F5C,monitor,11C8,8E00,7C38,normal
0F63,monitor,11C8,8E00,7C38,normal
0F90,monitor,0FA7,8BDF,7C38,normal
0FBA,monitor,027B,7EB3,7C38,normal
0FBE,monitor,0011,7C49,7C38,normal
0FC6,monitor,0003,7C3B,7C38,normal
0FCB,monitor,10B9,8CF1,7C38,normal
0FCF,monitor,0FEB,8C23,7C38,normal
0FDD,monitor,29A9,A5E1,7C38,normal
0FE2,monitor,119D,8DD5,7C38,normal
0FE7,monitor,29A7,A5DF,7C38,normal
0FF3,monitor,1135,8D6D,7C38,normal
0FF6,monitor,10CA,8D02,7C38,normal
1017,monitor,11AF,8DE7,7C38,normal
101C,monitor,29A9,A5E1,7C38,normal
1025,monitor,29C8,A600,7C38,normal
1028,monitor,112C,8D64,7C38,normal
1040,monitor,10DC,8D14,7C38,normal
1054,monitor,1141,8D79,7C38,normal
1061,monitor,1134,8D6C,7C38,normal
1076,monitor,11D4,8E0C,7C38,normal
1079,monitor,29C8,A600,7C38,normal
107D,monitor,1135,8D6D,7C38,normal
1087,monitor,10CA,8D02,7C38,normal
109D,monitor,29A7,A5DF,7C38,normal
10AA,monitor,2EB6,AAEE,7C38,normal
10AD,monitor,11B2,8DEA,7C38,normal
10B6,monitor,0C59,8891,7C38,normal
10BF,monitor,0C4A,8882,7C38,normal
10C2,monitor,0EAD,8AE5,7C38,normal
10D1,monitor,29C8,A600,7C38,normal
10E6,monitor,10CA,8D02,7C38,normal
10EA,monitor,1120,8D58,7C38,normal
10EF,monitor,10D4,8D0C,7C38,normal
10F2,monitor,11B5,8DED,7C38,normal
10F6,monitor,11D4,8E0C,7C38,normal
10F9,monitor,29C8,A600,7C38,normal
10FD,monitor,1176,8DAE,7C38,normal
1102,monitor,29A5,A5DD,7C38,normal
1113,monitor,29A5,A5DD,7C38,normal
1119,monitor,11AF,8DE7,7C38,normal
1138,monitor,29A5,A5DD,7C38,normal
113D,monitor,1135,8D6D,7C38,normal
1142,monitor,11A6,8DDE,7C38,normal
1145,monitor,2B72,A7AA,7C38,normal
114A,monitor,11A8,8DE0,7C38,normal
114D,monitor,2B66,A79E,7C38,normal
1152,monitor,11A6,8DDE,7C38,normal
115B,monitor,2B5E,A796,7C38,normal
1160,monitor,11A8,8DE0,7C38,normal
1163,monitor,2B4D,A785,7C38,normal
1166,monitor,2D07,A93F,7C38,normal
116C,monitor,29A9,A5E1,7C38,normal
1173,monitor,1176,8DAE,7C38,normal
117F,monitor,29A9,A5E1,7C38,normal
1186,monitor,118E,8DC6,7C38,normal
118B,monitor,1135,8D6D,7C38,normal
119B,monitor,29A9,A5E1,7C38,normal
11A0,monitor,2B42,A77A,7C38,normal
11AA,monitor,2D07,A93F,7C38,normal
11B0,monitor,2FF4,AC2C,7C38,normal
11B3,monitor,2509,A141,7C38,normal
11B9,monitor,296E,A5A6,7C38,normal
11C0,monitor,29A7,A5DF,7C38,normal
1389,assembler,1F09,9B41,7C38,normal
138B,assembler,1A9F,96D7,7C38,normal
138D,assembler,1E86,9ABE,7C38,normal
138F,assembler,2C7F,A8B7,7C38,normal
1391,assembler,1583,91BB,7C38,normal
1393,assembler,13C6,8FFE,7C38,normal
1395,assembler,14E1,9119,7C38,normal
1397,assembler,19BB,95F3,7C38,normal
1399,assembler,1E79,9AB1,7C38,normal
139B,assembler,19BB,95F3,7C38,normal
139D,assembler,19BB,95F3,7C38,normal
139F,assembler,13BF,8FF7,7C38,normal
13A1,assembler,1956,958E,7C38,normal
